Playlist Name,Video Name,Video URL,Duration,Preview Image
Anime Shorts,Powerrrrrrrr #anime #animeedit #animemoments #animeshorts #chainsawman #power,https://www.youtube.com/watch?v=Bg9hwKznwVU,PT12S,https://i.ytimg.com/vi/Bg9hwKznwVU/hqdefault.jpg
Anime Shorts,The king of hell ! #anime #animeedit #animemoments #animeshorts #onepiece #zoro,https://www.youtube.com/watch?v=_eKkO0jUm10,PT10S,https://i.ytimg.com/vi/_eKkO0jUm10/hqdefault.jpg
Anime Shorts,Luffy: Kaidooooo #anime #animeedit #animemoments #animeshorts #onepiece #luffy #kaido,https://www.youtube.com/watch?v=UX0H7KaPdCU,PT28S,https://i.ytimg.com/vi/UX0H7KaPdCU/hqdefault.jpg
Anime Shorts,Most beautiful blood art #anime #animeedit #animemoments #animeshorts #demonslayer #akaza #demon,https://www.youtube.com/watch?v=H9Pjmar_Uaw,PT19S,https://i.ytimg.com/vi/H9Pjmar_Uaw/hqdefault.jpg
Badass Anime Moments,Badass & Epic Anime Moments With Anime & Music Name Part 1 (TikTok Compilation),https://www.youtube.com/watch?v=MeqoIctCxZw,PT8M28S,https://i.ytimg.com/vi/MeqoIctCxZw/hqdefault.jpg
Badass Anime Moments,Badass & Epic Anime Moments With Anime & Music Name Part 2 (TikTok Compilation),https://www.youtube.com/watch?v=Sq_Qz2Go7Ug,PT9M10S,https://i.ytimg.com/vi/Sq_Qz2Go7Ug/hqdefault.jpg
Badass Anime Moments,Badass & Epic Anime Moments With Anime & Music Name Part 3 (TikTok Compilation),https://www.youtube.com/watch?v=Gn0jqd86zzM,PT9M36S,https://i.ytimg.com/vi/Gn0jqd86zzM/hqdefault.jpg
Badass Anime Moments,Badass & Epic Anime Moments With Anime & Music Name Part 4 (TikTok Compilation),https://www.youtube.com/watch?v=sACURA2KiwE,PT9M21S,https://i.ytimg.com/vi/sACURA2KiwE/hqdefault.jpg
Badass Anime Moments,Badass & Epic Anime Moments With Anime & Music Name Part 5 (TikTok Compilation),https://www.youtube.com/watch?v=y5gSQq5RDLg,PT10M52S,https://i.ytimg.com/vi/y5gSQq5RDLg/hqdefault.jpg
Badass Anime Moments,Badass Anime Moments With Anime & Music Name Part 6 (TikTok Compilation),https://www.youtube.com/watch?v=Z6Ks4RuMwuo,PT8M20S,https://i.ytimg.com/vi/Z6Ks4RuMwuo/hqdefault.jpg
